Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,Salinity,Time,QC,QR,QC,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1.5,0.65,0.3,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1.5,0.4,0.05,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1.5,0.35,0.1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,1.5,0.15,0.1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.25,0.2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.35,0.4,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.15,0.3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.1,0.25,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.5,0.25,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,1.5,0.15,0.3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1.5,0.6,0.1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1.5,0.55,0.2,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1.5,0.4,0.05,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1.5,0.2,0.05,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1.5,0.3,0.05,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,1.5,0.4,0.1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1.5,0.55,0.1,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
