Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h
15,-0.8,3.07 ,-9.46 ,0.7,0.85,0.8,0.75,0.05,0.05,0.3,0.2
15,-0.8,2.20 ,-8.03 ,0.75,0.65,0.75,0.7,0.15,0.2,0.1,0.1
15,-0.8,3.00 ,-7.37 ,0.6,0.7,0.8,0.8,0.1,0.05,0.25,0.2
15,0.4,0.03 ,2.46 ,0.15,0.3,0.15,0.15,0.4,0.35,0.35,0.65
15,0.4,0.10 ,2.79 ,0.15,0.2,0.2,0.35,0.35,0.55,0.5,0.45
15,0.4,0.03 ,-0.64 ,0.15,0.2,0.15,0.05,0.35,0.4,0.45,0.65
15,0.4,0.40 ,10.61 ,0.1,0.1,0.35,0.25,0.25,0.3,0.4,0.5
15,0.4,0.13 ,4.23 ,0.2,0.3,0.5,0.35,0.45,0.65,0.55,0.5
15,0.4,0.27 ,0.80 ,0.4,0.4,0.45,0.45,0.3,0.35,0.4,0.55
15,0.8,0.57 ,4.33 ,0.1,0.05,0.05,0.1,0.2,0.45,0.4,0.4
15,0.8,-0.87 ,8.06 ,0.1,0.2,0.1,0.15,0.3,0.5,0.4,0.55
15,0.8,-0.43 ,3.72 ,0.1,0.15,0.1,0.1,0.15,0.35,0.4,0.45
15,0.8,-1.00 ,-0.18 ,0.05,0.25,0.3,0.2,0.1,0.4,0.4,0.45
15,0.8,-0.05 ,2.28 ,0.45,0.3,0.3,0.35,0.25,0.45,0.4,0.4
15,0.8,-0.57 ,1.79 ,0.1,0.1,0.05,0.05,0.3,0.4,0.5,0.4
15,-0.4,0.13 ,-3.80 ,0.2,0.4,0.4,0.4,0.2,0.1,0.3,0.1
15,-0.4,-0.03 ,-2.76 ,0.35,0.55,0.55,0.45,0.05,0.15,0.1,0.05
15,-0.4,0.40 ,-12.59 ,0.2,0.6,0.6,0.5,0.05,0.15,0.15,0.1
15,-0.4,0.37 ,-1.14 ,0.2,0.6,0.55,0.6,0.1,0.15,0.25,0.15
15,-0.4,0.00 ,-0.44 ,0.3,0.85,0.8,0.7,0.1,0.1,0.05,0.05
15,-0.4,-0.17 ,-4.15 ,0.35,0.7,0.75,0.75,0,0.05,0.1,0.1
